district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat
Enjil,02,32,تعمیر,3202062,Sar Asiab Village,Sar Asiab Scondary School,Herat,2,0,2,Building,62.363835,34.271252
Bangi,04,18,تعمیر,1804059,Saqaba,Dahana Bangi School,Takhar,2,4,6,Building,69.255019,36.717063
Bangi,04,18,تعمیر,1804060,Mirza Bacha,Mawlawi Ezzatullah Shaheed High School,Takhar,2,3,5,Building,69.365761,36.528735
Rustaq,10,18,تعمیر,1810119,Dasht Mirzayee,Koktaba High School,Takhar,1,2,3,Building,69.720890,36.916526
Rustaq,10,18,تعمیر,1810120,Ganda,Ganda Secondary School,Takhar,2,2,4,Building,69.805110,37.168974
Hazrat-E-Sultan,02,20,تعمیر,2002022,Dawlat Abad Village,Dawlat Abad Secondary School,Samangan,1,1,2,Building,67.829249,36.521875
Hazrat-E-Sultan,02,20,تعمیر,2002023,District Compound,District Office,Samangan,1,2,3,Building,67.896221,36.455079
Chaki Wardak,04,04,قریه,0404083,Noor Khel,Saleh Mohammad House,Wardak,1,1,2,Village,68.661764,34.132662
Ghoryan,11,32,تعمیر,3211456,Markaz-E-Sar Asia,Sar Asia Mosque,Herat,2,1,3,Building,61.478710,34.344700
Obe,12,32,قریه,3212365,Markaz-E-Oba Char Mahal,Markaz-E-Oba High School,Herat,2,3,5,Village,63.175860,34.369850
Waras,07,10,تعمیر,1007186,Dara Ghol Sia,Dara Ghol Sia Mosque,Bamyan,1,2,3,Building,67.067176,34.130355
Argo,02,17,تعمیر,1702287,Now Abad Qala Zafar,Qala Zafar Mosque,Badakhshan,1,2,3,Building,70.107235,37.008311
Jaji Maidan,13,14,تعمیر,1413185,Sara Pila,Sari Pili School,Khost,1,2,3,Building,70.086572,33.584589
Darayim,07,17,تعمیر,1707295,Chapa,Chapa Village Mosque,Badakhshan,1,2,3,Building,70.339929,36.969262
Rustaq,10,18,تعمیر,1810209,Dasht Amani,Mosque,Takhar,1,2,3,Building,70.124317,37.046219
Yamgan,18,17,تعمیر,1718313,Awrugh,Ogh Female Secondary School,Badakhshan,1,2,3,Building,70.948278,36.566112
Qala-E-Zal,07,19,تعمیر,1907219,Shor Aruq,Secondary School,Kunduz,1,2,3,Building,68.579587,36.963372
Khedir,05,24,قریه,2405182,Dahan Abdara,Mosque,Daykundi,1,2,3,Village,65.716202,33.939944
Shah Joi,06,26,قریه,2606071,Zargan,Bagh Naso Mosque,Zabul,1,2,3,Village,67.304001,32.698926
Arghandab,05,26,قریه,2605061,Khwazangi,Moque,Zabul,1,2,3,Village,66.963312,32.517357
Shemel Zayi,10,26,تعمیر,2610080,Omran Villge,House,Zabul,1,2,3,Building,67.609766,31.737290
Shemel Zayi,10,26,تعمیر,2610081,Seen Zai,House,Zabul,1,2,3,Building,67.743037,32.016407
Jawand,06,31,تعمیر,3106198,Kaftar Khan,Kaftar Khan Mosque,Badghis,1,2,3,Building,63.874136,34.836279
Sangin Qala,08,30,تعمیر,3008226,Nawi Maktab,New School,Helmand,1,3,4,Building,64.837401,32.071870
District_12,01,32,تعمیر,3201474,Said Qunad Secondary School,Sayed Qanad Secondary School,Herat,1,2,3,Building,62.161099,34.364726
Herat,01,32,تعمیر,3201475,9Th District,Mawlana Jame,Herat,1,2,3,Building,62.180229,34.373389
Nahia_21,01,01,تعمیر,0101532,Deh Sabz_District_21,Abdul Wahab Mosque,Kabul,1,2,3,Building,69.409832,34.527282
Nahia_17,01,01,تعمیر,0101534,Shahrak Tlaie Town,Shahrak Tlaie High School,Kabul,1,2,3,Building,69.081970,34.607128
Shakar Dara,06,01,ولسوالی,0106543,Asad Abad,Mosque,Kabul,1,2,3,District,69.065740,34.698050
Kalakan,10,01,تعمیر,0110544,Bazari Village,Moqawmat Secondary School,Kabul,1,2,3,Building,69.164119,34.796639
Nahia_11,01,01,تعمیر,0101523,Behaind Lwai 16,Yaqob Mosque,Kabul,1,2,3,Building,69.110768,34.571820
Nahia_12,01,01,تعمیر,0101524,Arzan Qimat 10Th Block,Ghulam Sedeq High School,Kabul,1,2,3,Building,69.334773,34.517599
Nahia_12,01,01,تعمیر,0101525,Arzan Qimat 13Th Block,Sedeq Ullah Risghteen High School,Kabul,1,2,3,Building,69.335242,34.505854
Qarabagh,14,01,قریه,0114548,Jar Chi,Jar Chi Secondary School,Kabul,1,2,3,Village,69.199826,34.878948
Qarabagh,14,01,قریه,0114549,Qala Haji,Qala Haji Secondary School,Kabul,1,2,3,Village,69.149016,34.830226
Surbi,15,01,تعمیر,0115550,Rod Bar,Rod Bar School,Kabul,1,2,3,Building,69.844141,34.731188
Kushk (Rubat-E-Sangi),07,32,تعمیر,3207479,Jafar Big Khurasani,School,Herat,1,2,3,Building,62.332259,34.775884
Adraskan,09,32,تعمیر,3209480,Dara Bast,Dara Bast Mosque,Herat,1,2,3,Building,62.747193,33.562436
